indicator_id,indicator_name,parent_code,parent_name,area_code,area_name,area_type,sex,age,category_type,category,time_period,value,lower_ci_95.0_limit,upper_ci_95.0_limit,lower_ci_99.8_limit,upper_ci_99.8_limit,count,denominator,value_note,recent_trend,compared_to_england_value_or_percentiles,column_not_used,time_period_sortable,new_data,compared_to_goal,time_period_range
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000026,Abbey,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,13.0137,10.79525,15.69156,9.66523,17.39052,95.0,730.0,,Cannot be calculated,Worse,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000027,Alibon,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,14.28571,11.41752,17.59205,10.04056,19.77694,70.0,490.0,,Cannot be calculated,Worse,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000028,Becontree,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,14.89362,12.71793,18.01411,11.46876,19.81662,105.0,705.0,,Cannot be calculated,Worse,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000029,Chadwell Heath,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,11.88119,9.67699,15.39776,8.43506,17.46924,60.0,505.0,,Cannot be calculated,Worse,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000030,Eastbrook,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,13.18681,10.33779,16.53511,8.99354,18.77404,60.0,455.0,,Cannot be calculated,Worse,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000031,Eastbury,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,15.17857,12.48989,18.45148,11.12023,20.5157,85.0,560.0,,Cannot be calculated,Worse,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000032,Gascoigne,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,13.82114,11.35473,16.82779,10.1045,18.7365,85.0,615.0,,Cannot be calculated,Worse,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000033,Goresbrook,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,14.81481,12.04473,18.02667,10.68338,20.11304,80.0,540.0,,Cannot be calculated,Worse,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000034,Heath,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,13.15789,10.34733,15.85599,9.11932,17.81336,75.0,570.0,,Cannot be calculated,Worse,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000035,Longbridge,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,9.80392,7.87604,13.15219,6.77401,15.12352,50.0,510.0,,Cannot be calculated,Similar,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000036,Mayesbrook,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,12.62136,9.71758,15.40453,8.47982,17.46021,65.0,515.0,,Cannot be calculated,Worse,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000037,Parsloes,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,13.54167,10.58154,16.66735,9.24725,18.84991,65.0,480.0,,Cannot be calculated,Worse,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000038,River,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,13.59223,10.55067,16.40197,9.25719,18.49034,70.0,515.0,,Cannot be calculated,Worse,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000039,Thames,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,13.81215,11.72986,16.23113,10.65612,17.75498,125.0,905.0,,Cannot be calculated,Worse,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000040,Valence,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,13.27434,10.54404,16.10222,9.30145,18.07231,75.0,565.0,,Cannot be calculated,Worse,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000041,Village,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,14.28571,12.03033,17.71693,10.72334,19.68834,85.0,595.0,,Cannot be calculated,Worse,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000042,Whalebone,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,11.38211,8.81609,13.78121,7.72915,15.57557,70.0,615.0,,Cannot be calculated,Similar,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000043,Brunswick Park,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,7.69231,5.5133,10.0506,4.62929,11.84134,40.0,520.0,,Cannot be calculated,Similar,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000044,Burnt Oak,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,12.76596,10.63239,15.58524,9.49588,17.31115,90.0,705.0,,Cannot be calculated,Worse,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000045,Childs Hill,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,9.18367,7.32019,12.5727,6.246,14.5659,45.0,490.0,,Cannot be calculated,Similar,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000046,Colindale,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,11.5,9.47447,13.39893,8.55659,14.75247,115.0,1000.0,,Cannot be calculated,Similar,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000047,Coppetts,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,8.41121,6.04442,10.69078,5.11792,12.49329,45.0,535.0,,Cannot be calculated,Similar,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000048,East Barnet,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,7.9646,5.98415,10.45499,5.08532,12.18111,45.0,565.0,,Cannot be calculated,Similar,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000049,East Finchley,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,5.43478,4.06495,8.40515,3.29689,10.23726,25.0,460.0,,Cannot be calculated,Better,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000050,Edgware,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,9.90991,7.53388,12.47921,6.49673,14.3251,55.0,555.0,,Cannot be calculated,Similar,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000051,Finchley Church End,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,5.15464,3.69199,7.75465,2.98252,9.48827,25.0,485.0,,Cannot be calculated,Better,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000052,Garden Suburb,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,8.06452,5.55817,11.70748,4.47594,14.2769,25.0,310.0,,Cannot be calculated,Similar,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000053,Golders Green,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,7.57576,5.8023,9.8638,4.97091,11.41524,50.0,660.0,,Cannot be calculated,Similar,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000054,Hale,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,8.18182,6.30565,10.93694,5.36869,12.71512,45.0,550.0,,Cannot be calculated,Similar,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000055,Hendon,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,7.5188,5.62678,9.62257,4.81272,11.15486,50.0,665.0,,Cannot be calculated,Better,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000056,High Barnet,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,6.59341,4.81968,9.46754,3.9632,11.37269,30.0,455.0,,Cannot be calculated,Better,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000057,Mill Hill,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,7.69231,5.90163,10.02885,5.05624,11.60403,50.0,650.0,,Cannot be calculated,Similar,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000058,Oakleigh,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,6.38298,4.16253,8.49319,3.38839,10.30916,30.0,470.0,,Cannot be calculated,Better,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000059,Totteridge,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,5.49451,3.40677,7.50324,2.71683,9.2926,25.0,455.0,,Cannot be calculated,Better,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000060,Underhill,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,6.97674,5.29562,10.27001,4.36851,12.28863,30.0,430.0,,Cannot be calculated,Similar,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000061,West Finchley,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,5.66038,4.16675,8.21316,3.42524,9.88507,30.0,530.0,,Cannot be calculated,Better,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000062,West Hendon,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,11.50442,8.84461,14.06152,7.71494,15.95979,65.0,565.0,,Cannot be calculated,Similar,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000063,Woodhouse,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,7.9646,5.85214,10.29321,4.96389,12.01455,45.0,565.0,,Cannot be calculated,Similar,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000085,Alperton,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,5.51181,3.85663,7.38895,3.19699,8.8346,35.0,635.0,,Cannot be calculated,Better,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000086,Barnhill,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,11.11111,8.95809,14.5706,7.76022,16.63019,55.0,495.0,,Cannot be calculated,Similar,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000087,Brondesbury Park,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,5.17241,2.90727,7.96601,2.18613,10.39119,15.0,290.0,,Cannot be calculated,Better,Not compared,20210000,,,3y
93105,"Reception prevalence of obesity (including severe obesity), 3 years data combined",E92000001,England,E05000088,Dollis Hill,Electoral Wards (2021),Persons,4-5 yrs,,,2021/22 - 23/24,10.52632,7.89127,13.37703,6.75682,15.43896,50.0,475.0,,Cannot be calculated,Similar,Not compared,20210000,,,3y
