WD21CD,WD22CD,distance
E05000026,E05014066,0.002587756557327529
E05000027,E05014054,0.011889518114709079
E05000028,E05014057,0.0020934901480552446
E05000029,E05014058,0.0
E05000030,E05014059,0.0017974228773432982
E05000031,E05014060,0.0036368702203944557
E05000032,E05014061,0.0021861235097760017
E05000033,E05014062,0.005018009964119244
E05000034,E05014063,0.0009809999999999819
E05000035,E05014064,0.00012999999999999123
E05000036,E05014065,0.00419304054356737
E05000037,E05014067,0.0012787196721741369
E05000038,E05014056,0.0021016840866316896
E05000039,E05014055,0.006521200886340338
E05000040,E05014069,0.0026962707579167374
E05000041,E05014070,0.005151966226599256
E05000042,E05014071,0.0012232317850650724
E05000043,E05013629,0.0
E05000044,E05013630,0.0013393281898022751
E05000045,E05013631,0.0047817256299391275
E05000046,E05013633,0.002120848886648779
E05000047,E05013640,0.0018243354954594275
E05000048,E05013635,0.0017513994404488025
E05000049,E05013636,0.00020024984394454283
E05000050,E05013637,0.012911719482706977
E05000051,E05013639,0.0026480370088062784
E05000052,E05013641,0.0019150979087234647
E05000053,E05013634,0.004834800926615345
E05000054,E05013638,0.013764247164301668
E05000055,E05013643,0.0041960934212681425
E05000056,E05013644,0.011655290644167282
E05000057,E05013645,0.005085135199777528
E05000058,E05013650,0.008394432678861263
E05000059,E05013646,0.00983697616140247
E05000060,E05013647,0.005161637337124686
E05000061,E05013648,0.003346072324383062
E05000062,E05013649,0.0025800193797721866
E05000063,E05013651,0.0008015609770941686
E05000085,E05013496,0.006681751267444879
E05000086,E05013497,0.004552669546541523
E05000087,E05013498,3.605551275422177e-05
E05000088,E05013500,0.00250714977613561
E05000089,E05013500,0.007298575203422538
E05000090,E05013504,0.009221241781885098
E05000091,E05013501,0.005970134001847598
E05000092,E05013501,0.007539190938023833
E05000093,E05013502,0.004061157470476604
E05000094,E05013503,0.0
E05000095,E05013499,9.999999996068709e-06
E05000096,E05013505,0.002393532953604788
E05000097,E05013506,0.0059820565025722385
E05000098,E05013507,0.0
E05000099,E05013508,0.004838450165081959
E05000100,E05013510,2.8284271246901404e-05
E05000101,E05013511,0.0036004721912549524
E05000102,E05013512,0.004806766064622844
E05000103,E05013513,0.008696004829807947
E05000104,E05013514,0.004271592209000148
E05000105,E05013509,0.0048183399630991755
E05000106,E05013988,0.0031385705344964833
E05000107,E05013989,0.004538258366376612
E05000108,E05013990,0.0031535549781147054
E05000109,E05013991,0.00551841462740746
E05000110,E05013992,0.014242553282328861
E05000111,E05013993,0.0009449338601171851
E05000112,E05013994,2.8284271246925937e-05
E05000113,E05013987,0.0011458621208508969
E05000114,E05014007,0.01041757668558428
E05000115,E05014007,0.020277158479432244
E05000116,E05013995,0.0013296616110887128
E05000117,E05013996,0.011887033944597038
E05000118,E05013997,0.005160958825643426
E05000119,E05013998,0.0026896014574656533
E05000120,E05013999,3.0000000002416982e-05
E05000121,E05014000,0.0025719447894527116
E05000122,E05014001,0.003411279085621709
E05000123,E05014002,0.0003275667870862722
E05000124,E05014003,0.005915197460775934
E05000125,E05014004,0.005340938587926934
E05000126,E05014005,0.0024972985404248006
E05000127,E05014008,0.002801142624002435
E05000128,E05013652,0.004438118970917377
E05000129,E05013653,0.0009513148795251343
E05000130,E05013655,0.00429057105756332
E05000131,E05013654,0.0023970815588962805
E05000132,E05013656,4.4721359549643315e-05
E05000133,E05013657,0.0028532788156794575
E05000134,E05013658,0.0025800193797721866
E05000135,E05013659,0.00037054014626963485
E05000136,E05013660,0.0001910497317453445
E05000137,E05013661,1.0000000000010001e-05
E05000138,E05013662,0.001370036495864272
E05000139,E05013663,0.0033287985820732325
E05000140,E05013665,0.004042820797411751
E05000141,E05013666,0.008102845179314902
E05000142,E05013668,0.0
E05000143,E05013669,0.002575616431070702
E05000144,E05013652,0.0068029405406763435
E05000145,E05013671,0.00025942243542317786
E05000170,E05013527,0.007788408052998614
E05000171,E05013535,0.0003801315561748523
E05000172,E05013519,0.0008363013810854063
E05000173,E05013520,9.99999999995449e-06
E05000174,E05013521,0.0022573657213644694
E05000175,E05013527,0.00447361151643544
E05000176,E05013525,0.0022208106627927275
E05000177,E05013523,0.007342458716261114
E05000178,E05013518,0.0033533565274189666
E05000179,E05013524,0.0014897650821526635
E05000180,E05013529,2.9999999995311555e-05
E05000181,E05013526,0.0021511392330580024
E05000182,E05013530,0.0012703542812932652
E05000183,E05013528,1.9999999999242846e-05
E05000184,E05013531,1.9999999999242846e-05
E05000185,E05013532,1.0000000000010001e-05
